tile,status,reason,path,checked_at,sample_count,valid_count,nodata_count,min_m,max_m,mean_m
N10E105,OK,OK,D:\MWpre_planning_standalone_59c8a8a\data\dem\N10E105.tif,2026-07-01T14:43:36.750004+00:00,25,25,0,0.0,5.27,2.66
N10E106,OK,OK,D:\MWpre_planning_standalone_59c8a8a\data\dem\N10E106.tif,2026-07-01T14:43:37.261184+00:00,25,25,0,0.0,23.56,4.24
N10E107,OK,OK,D:\MWpre_planning_standalone_59c8a8a\data\dem\N10E107.tif,2026-07-01T14:43:37.704116+00:00,25,25,0,0.0,143.55,34.8
N10E108,SUSPECT,FLAT_SAMPLE_GRID,D:\MWpre_planning_standalone_59c8a8a\data\dem\N10E108.tif,2026-07-01T14:43:38.103228+00:00,25,25,0,0.0,0.0,0.0
N10E109,SUSPECT,SOME_INVALID_SAMPLES,D:\MWpre_planning_standalone_59c8a8a\data\dem\N10E109.tif,2026-07-01T14:43:38.403800+00:00,25,19,6,-466.0,-31.0,-203.63
N11E011,OK,OK,D:\MWpre_planning_standalone_59c8a8a\data\dem\N11E011.tif,2026-07-01T14:43:38.410259+00:00,25,25,0,268.21,478.19,384.88
N11E012,OK,OK,D:\MWpre_planning_standalone_59c8a8a\data\dem\N11E012.tif,2026-07-01T14:43:38.811255+00:00,25,25,0,330.69,511.34,394.32
N11E105,OK,OK,D:\MWpre_planning_standalone_59c8a8a\data\dem\N11E105.tif,2026-07-01T14:43:39.232846+00:00,25,25,0,1.0,41.25,11.02
N11E106,OK,OK,D:\MWpre_planning_standalone_59c8a8a\data\dem\N11E106.tif,2026-07-01T14:43:39.675451+00:00,25,25,0,2.66,173.41,58.57
N11E107,OK,OK,D:\MWpre_planning_standalone_59c8a8a\data\dem\N11E107.tif,2026-07-01T14:43:40.177526+00:00,25,25,0,61.5,1076.21,410.29
N11E108,OK,OK,D:\MWpre_planning_standalone_59c8a8a\data\dem\N11E108.tif,2026-07-01T14:43:40.792654+00:00,25,25,0,0.0,1360.04,533.2
N11E109,OK,OK,D:\MWpre_planning_standalone_59c8a8a\data\dem\N11E109.tif,2026-07-01T14:43:41.274615+00:00,25,25,0,0.0,601.77,26.22
N12E011,OK,OK,D:\MWpre_planning_standalone_59c8a8a\data\dem\N12E011.tif,2026-07-01T14:43:41.627207+00:00,25,25,0,317.27,366.88,343.03
N12E012,OK,OK,D:\MWpre_planning_standalone_59c8a8a\data\dem\N12E012.tif,2026-07-01T14:43:42.198488+00:00,25,25,0,297.78,353.56,321.6
N12E105,OK,OK,D:\MWpre_planning_standalone_59c8a8a\data\dem\N12E105.tif,2026-07-01T14:43:42.754991+00:00,25,25,0,10.92,107.74,43.52
N12E106,OK,OK,D:\MWpre_planning_standalone_59c8a8a\data\dem\N12E106.tif,2026-07-01T14:43:43.284036+00:00,25,25,0,33.84,225.53,110.42
N12E107,OK,OK,D:\MWpre_planning_standalone_59c8a8a\data\dem\N12E107.tif,2026-07-01T14:43:43.837929+00:00,25,25,0,187.84,899.94,487.09
N12E108,OK,OK,D:\MWpre_planning_standalone_59c8a8a\data\dem\N12E108.tif,2026-07-01T14:43:44.590338+00:00,25,25,0,41.65,1756.73,745.94
N12E109,OK,OK,D:\MWpre_planning_standalone_59c8a8a\data\dem\N12E109.tif,2026-07-01T14:43:45.796335+00:00,25,25,0,0.0,653.28,40.03
N13E105,OK,OK,D:\MWpre_planning_standalone_59c8a8a\data\dem\N13E105.tif,2026-07-01T14:43:46.603151+00:00,25,25,0,40.0,163.21,92.14
